# SUMMARY (per locale x criterion)
locale,language,criterion,n_pairs,llm_mean,human_mean,bias_total,mae_total,llm_low,llm_mid,llm_high,hum_low,hum_mid,hum_high
cs_CZ,Czech,instruction_following,736,6.3723,5.8492,0.5231,0.9688,0.0516,0.0000,0.9484,0.0489,0.2541,0.6970
cs_CZ,Czech,naturalness,736,6.1073,5.3383,0.7690,1.2391,0.1535,0.0312,0.8152,0.1005,0.3859,0.5136
cs_CZ,Czech,coherence,736,6.3668,5.6848,0.6821,1.1087,0.0992,0.0476,0.8533,0.0707,0.3057,0.6236
en_US,English,instruction_following,736,6.8315,6.4389,0.3927,0.5938,0.0122,0.0000,0.9878,0.0122,0.1101,0.8777
en_US,English,naturalness,736,6.9647,6.2310,0.7337,0.7717,0.0014,0.0014,0.9973,0.0068,0.2609,0.7323
en_US,English,coherence,736,6.9701,6.3560,0.6141,0.6413,0.0027,0.0014,0.9959,0.0109,0.1562,0.8329

# LEVEL DETAIL (per locale x criterion x llm_level)
locale,language,criterion,llm_level,count,human_mean,cond_bias,recommendation
cs_CZ,Czech,instruction_following,1,19,4.5263,-3.5263,↑  zvýšit  (LLM o -3.53 pod lidmi)
cs_CZ,Czech,instruction_following,2,0,,,—  (LLM toto skóre nepoužilo)
cs_CZ,Czech,instruction_following,3,19,4.0526,-1.0526,↑  zvýšit  (LLM o -1.05 pod lidmi)
cs_CZ,Czech,instruction_following,4,0,,,—  (LLM toto skóre nepoužilo)
cs_CZ,Czech,instruction_following,5,0,,,—  (LLM toto skóre nepoužilo)
cs_CZ,Czech,instruction_following,6,272,5.4926,0.5074,↓  snížit  (LLM o +0.51 nad lidmi)
cs_CZ,Czech,instruction_following,7,426,6.2160,0.7840,↓  snížit  (LLM o +0.78 nad lidmi)
cs_CZ,Czech,naturalness,1,11,2.2727,-1.2727,↑  zvýšit  (LLM o -1.27 pod lidmi)
cs_CZ,Czech,naturalness,2,0,,,—  (LLM toto skóre nepoužilo)
cs_CZ,Czech,naturalness,3,102,4.0098,-1.0098,↑  zvýšit  (LLM o -1.01 pod lidmi)
cs_CZ,Czech,naturalness,4,10,3.8000,0.2000,OK
cs_CZ,Czech,naturalness,5,13,4.6923,0.3077,↓  snížit  (LLM o +0.31 nad lidmi)
cs_CZ,Czech,naturalness,6,127,5.1102,0.8898,↓  snížit  (LLM o +0.89 nad lidmi)
cs_CZ,Czech,naturalness,7,473,5.8076,1.1924,↓  snížit  (LLM o +1.19 nad lidmi)
cs_CZ,Czech,coherence,1,17,4.0000,-3.0000,↑  zvýšit  (LLM o -3.00 pod lidmi)
cs_CZ,Czech,coherence,2,0,,,—  (LLM toto skóre nepoužilo)
cs_CZ,Czech,coherence,3,56,4.1071,-1.1071,↑  zvýšit  (LLM o -1.11 pod lidmi)
cs_CZ,Czech,coherence,4,0,,,—  (LLM toto skóre nepoužilo)
cs_CZ,Czech,coherence,5,35,4.7143,0.2857,OK
cs_CZ,Czech,coherence,6,70,5.1429,0.8571,↓  snížit  (LLM o +0.86 nad lidmi)
cs_CZ,Czech,coherence,7,558,6.0233,0.9767,↓  snížit  (LLM o +0.98 nad lidmi)
en_US,English,instruction_following,1,4,5.5000,-4.5000,↑  zvýšit  (LLM o -4.50 pod lidmi)
en_US,English,instruction_following,2,0,,,—  (LLM toto skóre nepoužilo)
en_US,English,instruction_following,3,5,5.6000,-2.6000,↑  zvýšit  (LLM o -2.60 pod lidmi)
en_US,English,instruction_following,4,0,,,—  (LLM toto skóre nepoužilo)
en_US,English,instruction_following,5,0,,,—  (LLM toto skóre nepoužilo)
en_US,English,instruction_following,6,80,6.0750,-0.0750,OK
en_US,English,instruction_following,7,647,6.4961,0.5039,↓  snížit  (LLM o +0.50 nad lidmi)
en_US,English,naturalness,1,0,,,—  (LLM toto skóre nepoužilo)
en_US,English,naturalness,2,0,,,—  (LLM toto skóre nepoužilo)
en_US,English,naturalness,3,1,3.0000,0.0000,OK
en_US,English,naturalness,4,1,7.0000,-3.0000,↑  zvýšit  (LLM o -3.00 pod lidmi)
en_US,English,naturalness,5,0,,,—  (LLM toto skóre nepoužilo)
en_US,English,naturalness,6,19,6.1053,-0.1053,OK
en_US,English,naturalness,7,715,6.2378,0.7622,↓  snížit  (LLM o +0.76 nad lidmi)
en_US,English,coherence,1,0,,,—  (LLM toto skóre nepoužilo)
en_US,English,coherence,2,0,,,—  (LLM toto skóre nepoužilo)
en_US,English,coherence,3,2,4.5000,-1.5000,↑  zvýšit  (LLM o -1.50 pod lidmi)
en_US,English,coherence,4,0,,,—  (LLM toto skóre nepoužilo)
en_US,English,coherence,5,1,6.0000,-1.0000,↑  zvýšit  (LLM o -1.00 pod lidmi)
en_US,English,coherence,6,12,5.9167,0.0833,OK
en_US,English,coherence,7,721,6.3689,0.6311,↓  snížit  (LLM o +0.63 nad lidmi)
