Language,Criterion,1,2,3,4,5,6,7
Arabic,coherence,9.78,1.22,3.53,4.35,16.03,16.85,48.23
Arabic,naturalness,48.51,3.26,5.98,4.08,15.35,10.33,12.5
Arabic,instruction_following,9.65,1.09,2.04,2.31,11.55,17.12,56.25
Bengali,coherence,13.72,9.38,27.72,29.48,12.36,4.89,2.45
Bengali,naturalness,13.32,6.79,21.2,28.26,22.28,5.84,2.31
Bengali,instruction_following,9.1,2.45,15.22,25.27,35.87,5.84,6.25
Chinese,coherence,0.95,0.0,6.39,0.27,25.14,5.16,62.09
Chinese,naturalness,0.14,0.0,3.53,0.0,33.15,12.5,50.68
Chinese,instruction_following,1.77,0.14,7.88,0.68,25.68,5.98,57.88
Czech,coherence,2.72,0.14,4.21,7.74,22.83,28.8,33.56
Czech,naturalness,3.53,0.27,6.25,10.73,27.85,30.71,20.65
Czech,instruction_following,2.58,0.54,1.77,4.48,20.92,34.51,35.19
English,coherence,0.0,0.27,0.82,2.72,12.91,25.82,57.47
English,naturalness,0.0,0.27,0.41,4.48,21.6,17.26,55.98
English,instruction_following,0.0,0.41,0.82,1.77,9.24,27.04,60.73
German,coherence,0.0,0.27,0.41,1.77,6.39,21.2,69.97
German,naturalness,0.68,0.54,1.49,6.39,19.43,22.83,48.64
German,instruction_following,0.82,0.54,0.95,3.53,13.32,19.16,61.68
Hindi,coherence,2.04,0.27,1.77,3.4,31.39,11.01,50.14
Hindi,naturalness,2.17,0.41,5.03,6.25,35.87,13.59,36.68
Hindi,instruction_following,2.17,0.54,2.31,4.35,32.34,11.82,46.47
Indonesian,coherence,1.36,0.0,4.48,4.62,22.01,16.85,50.68
Indonesian,naturalness,0.82,0.14,4.76,8.15,22.15,16.85,47.15
Indonesian,instruction_following,1.77,0.41,6.39,4.08,11.96,8.97,66.44
Japanese,coherence,2.58,3.53,7.2,9.1,13.86,9.92,53.8
Japanese,naturalness,3.53,5.3,6.93,8.29,13.59,11.01,51.36
Japanese,instruction_following,1.22,1.63,8.29,11.96,20.92,13.45,42.53
Russian,coherence,1.09,0.27,1.36,2.72,12.23,6.79,75.54
Russian,naturalness,1.77,0.27,5.57,5.57,25.54,13.72,47.55
Russian,instruction_following,0.68,0.0,3.4,1.9,12.09,3.94,77.99
