# SUMMARY (per locale x criterion)
locale,language,criterion,n_pairs,llm_mean,human_mean,bias_total,mae_total,llm_low,llm_mid,llm_high,hum_low,hum_mid,hum_high
ar_EG,Arabic,instruction_following,736,5.9878,5.8139,0.1739,0.9130,0.1495,0.0530,0.7976,0.1277,0.1386,0.7337
ar_EG,Arabic,naturalness,736,5.7704,3.1549,2.6155,2.8818,0.1454,0.0747,0.7799,0.5774,0.1943,0.2283
ar_EG,Arabic,coherence,736,6.0190,5.5910,0.4280,0.9796,0.1644,0.0435,0.7921,0.1454,0.2038,0.6508
bn_BD,Bengali,instruction_following,736,4.9579,4.1889,0.7690,1.9592,0.3261,0.0965,0.5774,0.2677,0.6114,0.1209
bn_BD,Bengali,naturalness,736,4.8410,3.6617,1.1793,1.8125,0.3478,0.1073,0.5448,0.4130,0.5054,0.0815
bn_BD,Bengali,coherence,736,4.9198,3.4185,1.5014,2.2160,0.3573,0.0720,0.5707,0.5082,0.4185,0.0734
cs_CZ,Czech,instruction_following,736,6.0149,5.8492,0.1658,1.1467,0.1182,0.0788,0.8030,0.0489,0.2541,0.6970
cs_CZ,Czech,naturalness,736,5.7554,5.3383,0.4171,1.1481,0.1698,0.0870,0.7432,0.1005,0.3859,0.5136
cs_CZ,Czech,coherence,736,6.0978,5.6848,0.4130,1.1359,0.1359,0.0774,0.7867,0.0707,0.3057,0.6236
de_DE,German,instruction_following,736,6.5177,6.3220,0.1957,0.7582,0.0530,0.0421,0.9049,0.0231,0.1685,0.8084
de_DE,German,naturalness,736,6.3043,6.0639,0.2405,0.9416,0.0652,0.0951,0.8397,0.0272,0.2582,0.7147
de_DE,German,coherence,736,6.5353,6.5774,-0.0421,0.6101,0.0543,0.0571,0.8886,0.0068,0.0815,0.9117
en_US,English,instruction_following,736,6.7391,6.4389,0.3003,0.6291,0.0217,0.0149,0.9633,0.0122,0.1101,0.8777
en_US,English,naturalness,736,6.9130,6.2310,0.6821,0.7799,0.0041,0.0014,0.9946,0.0068,0.2609,0.7323
en_US,English,coherence,736,6.8940,6.3560,0.5380,0.6712,0.0054,0.0163,0.9783,0.0109,0.1562,0.8329
hi_IN,Hindi,instruction_following,736,5.9334,5.8546,0.0788,1.0870,0.1467,0.0829,0.7704,0.0503,0.3668,0.5829
hi_IN,Hindi,naturalness,736,5.7310,5.6073,0.1236,1.0693,0.1644,0.1264,0.7092,0.0761,0.4212,0.5027
hi_IN,Hindi,coherence,736,5.8954,5.9538,-0.0584,1.1590,0.1726,0.0842,0.7432,0.0408,0.3478,0.6114
id_ID,Indonesian,instruction_following,736,6.4144,6.1671,0.2473,0.8397,0.0666,0.0652,0.8682,0.0856,0.1603,0.7541
id_ID,Indonesian,naturalness,736,6.2785,5.8981,0.3804,0.9891,0.0842,0.0815,0.8342,0.0571,0.3030,0.6399
id_ID,Indonesian,coherence,736,6.3764,5.9918,0.3845,0.9633,0.0897,0.0543,0.8560,0.0584,0.2663,0.6753
ja_JP,Japanese,instruction_following,736,6.3424,5.6019,0.7405,1.2188,0.0707,0.0870,0.8424,0.1114,0.3288,0.5598
ja_JP,Japanese,naturalness,736,6.0856,5.6155,0.4701,1.2310,0.1114,0.0761,0.8125,0.1576,0.2188,0.6236
ja_JP,Japanese,coherence,736,6.2473,5.7310,0.5163,1.1114,0.1182,0.0666,0.8152,0.1332,0.2296,0.6372
ru_RU,Russian,instruction_following,736,6.3410,6.4851,-0.1440,0.7609,0.0774,0.0557,0.8668,0.0408,0.1399,0.8193
ru_RU,Russian,naturalness,736,6.2065,5.8424,0.3641,0.8505,0.0870,0.0870,0.8261,0.0761,0.3111,0.6128
ru_RU,Russian,coherence,736,6.3601,6.4728,-0.1128,0.7541,0.0734,0.0897,0.8370,0.0272,0.1495,0.8234
zh_CN,Chinese,instruction_following,736,6.5326,5.9783,0.5543,1.0082,0.0652,0.0231,0.9117,0.0978,0.2636,0.6386
zh_CN,Chinese,naturalness,736,6.4552,6.0625,0.3927,0.9688,0.0489,0.0720,0.8791,0.0367,0.3315,0.6318
zh_CN,Chinese,coherence,736,6.5163,6.1250,0.3913,1.0027,0.0584,0.0707,0.8709,0.0734,0.2541,0.6726

# LEVEL DETAIL (per locale x criterion x llm_level)
locale,language,criterion,llm_level,count,human_mean,cond_bias,recommendation
ar_EG,Arabic,instruction_following,1,57,2.2632,-1.2632,↑  zvýšit  (LLM o -1.26 pod lidmi)
ar_EG,Arabic,instruction_following,2,2,7.0000,-5.0000,↑  zvýšit  (LLM o -5.00 pod lidmi)
ar_EG,Arabic,instruction_following,3,51,3.6863,-0.6863,↑  zvýšit  (LLM o -0.69 pod lidmi)
ar_EG,Arabic,instruction_following,4,14,5.5714,-1.5714,↑  zvýšit  (LLM o -1.57 pod lidmi)
ar_EG,Arabic,instruction_following,5,25,5.8400,-0.8400,↑  zvýšit  (LLM o -0.84 pod lidmi)
ar_EG,Arabic,instruction_following,6,97,6.1753,-0.1753,OK
ar_EG,Arabic,instruction_following,7,490,6.3776,0.6224,↓  snížit  (LLM o +0.62 nad lidmi)
ar_EG,Arabic,naturalness,1,38,1.3684,-0.3684,↑  zvýšit  (LLM o -0.37 pod lidmi)
ar_EG,Arabic,naturalness,2,1,1.0000,1.0000,↓  snížit  (LLM o +1.00 nad lidmi)
ar_EG,Arabic,naturalness,3,68,1.6912,1.3088,↓  snížit  (LLM o +1.31 nad lidmi)
ar_EG,Arabic,naturalness,4,26,1.7308,2.2692,↓  snížit  (LLM o +2.27 nad lidmi)
ar_EG,Arabic,naturalness,5,29,3.2069,1.7931,↓  snížit  (LLM o +1.79 nad lidmi)
ar_EG,Arabic,naturalness,6,264,3.7652,2.2348,↓  snížit  (LLM o +2.23 nad lidmi)
ar_EG,Arabic,naturalness,7,310,3.2968,3.7032,↓  snížit  (LLM o +3.70 nad lidmi)
ar_EG,Arabic,coherence,1,50,1.8800,-0.8800,↑  zvýšit  (LLM o -0.88 pod lidmi)
ar_EG,Arabic,coherence,2,9,3.5556,-1.5556,↑  zvýšit  (LLM o -1.56 pod lidmi)
ar_EG,Arabic,coherence,3,62,3.9677,-0.9677,↑  zvýšit  (LLM o -0.97 pod lidmi)
ar_EG,Arabic,coherence,4,8,4.6250,-0.6250,↑  zvýšit  (LLM o -0.62 pod lidmi)
ar_EG,Arabic,coherence,5,24,4.6667,0.3333,↓  snížit  (LLM o +0.33 nad lidmi)
ar_EG,Arabic,coherence,6,57,5.9825,0.0175,OK
ar_EG,Arabic,coherence,7,526,6.1844,0.8156,↓  snížit  (LLM o +0.82 nad lidmi)
bn_BD,Bengali,instruction_following,1,151,3.1921,-2.1921,↑  zvýšit  (LLM o -2.19 pod lidmi)
bn_BD,Bengali,instruction_following,2,0,,,—  (LLM toto skóre nepoužilo)
bn_BD,Bengali,instruction_following,3,89,3.6742,-0.6742,↑  zvýšit  (LLM o -0.67 pod lidmi)
bn_BD,Bengali,instruction_following,4,29,4.1724,-0.1724,OK
bn_BD,Bengali,instruction_following,5,42,4.1190,0.8810,↓  snížit  (LLM o +0.88 nad lidmi)
bn_BD,Bengali,instruction_following,6,70,4.4000,1.6000,↓  snížit  (LLM o +1.60 nad lidmi)
bn_BD,Bengali,instruction_following,7,355,4.7099,2.2901,↓  snížit  (LLM o +2.29 nad lidmi)
bn_BD,Bengali,naturalness,1,96,2.3542,-1.3542,↑  zvýšit  (LLM o -1.35 pod lidmi)
bn_BD,Bengali,naturalness,2,3,3.0000,-1.0000,↑  zvýšit  (LLM o -1.00 pod lidmi)
bn_BD,Bengali,naturalness,3,157,3.0255,-0.0255,OK
bn_BD,Bengali,naturalness,4,50,3.6000,0.4000,↓  snížit  (LLM o +0.40 nad lidmi)
bn_BD,Bengali,naturalness,5,29,3.3448,1.6552,↓  snížit  (LLM o +1.66 nad lidmi)
bn_BD,Bengali,naturalness,6,162,4.1235,1.8765,↓  snížit  (LLM o +1.88 nad lidmi)
bn_BD,Bengali,naturalness,7,239,4.3515,2.6485,↓  snížit  (LLM o +2.65 nad lidmi)
bn_BD,Bengali,coherence,1,148,2.3243,-1.3243,↑  zvýšit  (LLM o -1.32 pod lidmi)
bn_BD,Bengali,coherence,2,25,2.7600,-0.7600,↑  zvýšit  (LLM o -0.76 pod lidmi)
bn_BD,Bengali,coherence,3,90,3.0778,-0.0778,OK
bn_BD,Bengali,coherence,4,8,3.1250,0.8750,↓  snížit  (LLM o +0.88 nad lidmi)
bn_BD,Bengali,coherence,5,45,3.2000,1.8000,↓  snížit  (LLM o +1.80 nad lidmi)
