# SUMMARY (per locale x criterion)
locale,language,criterion,n_pairs,llm_mean,human_mean,bias_total,mae_total,llm_low,llm_mid,llm_high,hum_low,hum_mid,hum_high
cs_CZ,Czech,instruction_following,736,5.8438,5.8492,-0.0054,1.2500,0.2188,0.0217,0.7595,0.0489,0.2541,0.6970
cs_CZ,Czech,naturalness,736,6.1155,5.3383,0.7772,1.2364,0.1508,0.0312,0.8179,0.1005,0.3859,0.5136
cs_CZ,Czech,coherence,736,5.7473,5.6848,0.0625,1.1658,0.0720,0.2976,0.6304,0.0707,0.3057,0.6236
en_US,English,instruction_following,736,6.8342,6.4389,0.3954,0.5883,0.0109,0.0000,0.9891,0.0122,0.1101,0.8777
en_US,English,naturalness,736,6.9647,6.2310,0.7337,0.7717,0.0014,0.0014,0.9973,0.0068,0.2609,0.7323
en_US,English,coherence,736,6.9715,6.3560,0.6155,0.6399,0.0027,0.0014,0.9959,0.0109,0.1562,0.8329

# LEVEL DETAIL (per locale x criterion x llm_level)
locale,language,criterion,llm_level,count,human_mean,cond_bias,recommendation
cs_CZ,Czech,instruction_following,1,52,4.5000,-3.5000,↑  zvýšit  (LLM o -3.50 pod lidmi)
cs_CZ,Czech,instruction_following,2,0,,,—  (LLM toto skóre nepoužilo)
cs_CZ,Czech,instruction_following,3,109,5.0642,-2.0642,↑  zvýšit  (LLM o -2.06 pod lidmi)
cs_CZ,Czech,instruction_following,4,0,,,—  (LLM toto skóre nepoužilo)
cs_CZ,Czech,instruction_following,5,16,5.6250,-0.6250,↑  zvýšit  (LLM o -0.62 pod lidmi)
cs_CZ,Czech,instruction_following,6,71,5.9718,0.0282,OK
cs_CZ,Czech,instruction_following,7,488,6.1578,0.8422,↓  snížit  (LLM o +0.84 nad lidmi)
cs_CZ,Czech,naturalness,1,11,2.2727,-1.2727,↑  zvýšit  (LLM o -1.27 pod lidmi)
cs_CZ,Czech,naturalness,2,0,,,—  (LLM toto skóre nepoužilo)
cs_CZ,Czech,naturalness,3,100,3.9800,-0.9800,↑  zvýšit  (LLM o -0.98 pod lidmi)
cs_CZ,Czech,naturalness,4,10,3.8000,0.2000,OK
cs_CZ,Czech,naturalness,5,13,4.6923,0.3077,↓  snížit  (LLM o +0.31 nad lidmi)
cs_CZ,Czech,naturalness,6,129,5.1163,0.8837,↓  snížit  (LLM o +0.88 nad lidmi)
cs_CZ,Czech,naturalness,7,473,5.8076,1.1924,↓  snížit  (LLM o +1.19 nad lidmi)
cs_CZ,Czech,coherence,1,34,4.2353,-3.2353,↑  zvýšit  (LLM o -3.24 pod lidmi)
cs_CZ,Czech,coherence,2,2,1.0000,1.0000,↓  snížit  (LLM o +1.00 nad lidmi)
cs_CZ,Czech,coherence,3,17,4.4118,-1.4118,↑  zvýšit  (LLM o -1.41 pod lidmi)
cs_CZ,Czech,coherence,4,132,4.9091,-0.9091,↑  zvýšit  (LLM o -0.91 pod lidmi)
cs_CZ,Czech,coherence,5,87,5.7356,-0.7356,↑  zvýšit  (LLM o -0.74 pod lidmi)
cs_CZ,Czech,coherence,6,70,6.1857,-0.1857,OK
cs_CZ,Czech,coherence,7,394,6.0482,0.9518,↓  snížit  (LLM o +0.95 nad lidmi)
en_US,English,instruction_following,1,4,5.5000,-4.5000,↑  zvýšit  (LLM o -4.50 pod lidmi)
en_US,English,instruction_following,2,0,,,—  (LLM toto skóre nepoužilo)
en_US,English,instruction_following,3,4,5.2500,-2.2500,↑  zvýšit  (LLM o -2.25 pod lidmi)
en_US,English,instruction_following,4,0,,,—  (LLM toto skóre nepoužilo)
en_US,English,instruction_following,5,0,,,—  (LLM toto skóre nepoužilo)
en_US,English,instruction_following,6,82,6.0366,-0.0366,OK
en_US,English,instruction_following,7,646,6.5031,0.4969,↓  snížit  (LLM o +0.50 nad lidmi)
en_US,English,naturalness,1,0,,,—  (LLM toto skóre nepoužilo)
en_US,English,naturalness,2,0,,,—  (LLM toto skóre nepoužilo)
en_US,English,naturalness,3,1,3.0000,0.0000,OK
en_US,English,naturalness,4,1,7.0000,-3.0000,↑  zvýšit  (LLM o -3.00 pod lidmi)
en_US,English,naturalness,5,0,,,—  (LLM toto skóre nepoužilo)
en_US,English,naturalness,6,19,6.1053,-0.1053,OK
en_US,English,naturalness,7,715,6.2378,0.7622,↓  snížit  (LLM o +0.76 nad lidmi)
en_US,English,coherence,1,0,,,—  (LLM toto skóre nepoužilo)
en_US,English,coherence,2,0,,,—  (LLM toto skóre nepoužilo)
en_US,English,coherence,3,2,4.5000,-1.5000,↑  zvýšit  (LLM o -1.50 pod lidmi)
en_US,English,coherence,4,0,,,—  (LLM toto skóre nepoužilo)
en_US,English,coherence,5,1,6.0000,-1.0000,↑  zvýšit  (LLM o -1.00 pod lidmi)
en_US,English,coherence,6,11,5.8182,0.1818,OK
en_US,English,coherence,7,722,6.3698,0.6302,↓  snížit  (LLM o +0.63 nad lidmi)
