judge_model_name,criterion,locale,n_prompts,mean,std,se,ci95_low,ci95_high,ci90_low,ci90_high
CommandA,coherence,ar_EG,46,0.6657608695652174,0.17157790100649603,0.02529778135734907,0.616304347826087,0.7144927536231884,0.6244565217391304,0.7065307971014492
GPT-4.1,coherence,ar_EG,46,0.6637681159420289,0.184576737958454,0.02721435530528431,0.6096014492753623,0.716490036231884,0.6193840579710145,0.7081612318840579
Qwen3-235B,coherence,ar_EG,46,0.6599637681159419,0.20183280243696725,0.02975862320753134,0.6025317028985505,0.7186639492753624,0.6123188405797102,0.708695652173913
Claude-4,coherence,ar_EG,46,0.6356884057971014,0.16826697485112813,0.02480961192831721,0.5865942028985508,0.6818840579710145,0.5952898550724638,0.6748188405797101
Llama-4-Maverick,coherence,ar_EG,46,0.6277173913043478,0.18043204619955824,0.026603253844693642,0.577169384057971,0.6806159420289856,0.5849547101449274,0.6721014492753623
DeepSeek-V3,coherence,ar_EG,46,0.5869565217391305,0.1484763373706089,0.02189164162463703,0.5443840579710144,0.6304347826086956,0.5514492753623188,0.6228260869565218
Mistral-Medium,coherence,ar_EG,46,0.5759057971014493,0.16679835779520635,0.02459307615674966,0.5289855072463769,0.6235552536231885,0.5360507246376812,0.6159420289855072
AyaExpanse-32B,coherence,ar_EG,46,0.5679347826086957,0.1901182818254801,0.028031411373156814,0.5130434782608696,0.6228260869565218,0.5222826086956522,0.6139583333333332
CommandR7B,coherence,ar_EG,46,0.5570652173913043,0.19005333389932413,0.028021835323876174,0.5030797101449275,0.6110507246376811,0.5115851449275362,0.6025452898550725
AyaExpanse-8B,coherence,ar_EG,46,0.4963768115942029,0.19252747257797387,0.028386627170454783,0.4434782608695652,0.5525407608695652,0.4516304347826087,0.5438405797101449
Qwen2.5-7B,coherence,ar_EG,46,0.4952898550724637,0.15412689350726805,0.022724770674789115,0.4514492753623188,0.5405842391304349,0.45868659420289853,0.5329710144927536
Llama-3.1-8B,coherence,ar_EG,46,0.4753623188405798,0.14677559635164164,0.021640881041887626,0.4347826086956521,0.5190217391304348,0.4409420289855073,0.5117753623188406
Mistral-7B,coherence,ar_EG,46,0.42572463768115937,0.1769584076729956,0.02609109378536223,0.3780751811594203,0.477536231884058,0.38514492753623186,0.46938405797101446
Claude-4,coherence,bn_BD,46,0.5153985507246377,0.13272973783781428,0.019569932186734005,0.4778985507246377,0.553623188405797,0.4835144927536232,0.5471014492753623
Mistral-Medium,coherence,bn_BD,46,0.48913043478260887,0.11777082743141798,0.017364361174469087,0.45597373188405793,0.5233695652173913,0.4615942028985508,0.5175815217391304
Qwen3-235B,coherence,bn_BD,46,0.4851449275362319,0.09962759427788855,0.014689287387338323,0.4570652173913044,0.5139492753623188,0.4617753623188406,0.508876811594203
GPT-4.1,coherence,bn_BD,46,0.4840579710144927,0.08700833802382549,0.012828679560019346,0.45851449275362316,0.5092391304347825,0.4626811594202898,0.5048913043478261
DeepSeek-V3,coherence,bn_BD,46,0.48061594202898544,0.10398026800920308,0.015331054116787373,0.4514492753623189,0.5110507246376812,0.4561503623188405,0.5056159420289855
