judge_model_name,criterion,locale,n_prompts,mean,std,se,cv,min,q10,q25,median,q75,q90,max,iqr,range,unstable_count_abs_dev_gt_0.10,unstable_share_abs_dev_gt_0.10
Qwen3-235B,coherence,ar_EG,46,0.6599637681159419,0.20183280243696725,0.02975862320753134,0.30582406518036215,0.25,0.425,0.48333333333333334,0.65,0.7979166666666667,0.9416666666666667,1.0,0.3145833333333334,0.75,36,0.782608695652174
AyaExpanse-8B,coherence,ar_EG,46,0.4963768115942029,0.19252747257797387,0.028386627170454783,0.3878655651935824,0.20833333333333334,0.3125,0.3458333333333333,0.42500000000000004,0.6270833333333333,0.7583333333333333,1.0,0.28125,0.7916666666666666,29,0.6304347826086957
AyaExpanse-32B,coherence,ar_EG,46,0.5679347826086957,0.1901182818254801,0.028031411373156814,0.33475372110897933,0.23333333333333334,0.3666666666666667,0.42916666666666664,0.5416666666666667,0.6895833333333333,0.7791666666666667,1.0,0.2604166666666667,0.7666666666666666,30,0.6521739130434783
CommandR7B,coherence,ar_EG,46,0.5570652173913043,0.19005333389932413,0.028021835323876174,0.34116891158512824,0.25833333333333336,0.32916666666666666,0.39375,0.5333333333333334,0.6958333333333333,0.7666666666666667,1.0,0.3020833333333333,0.7416666666666667,30,0.6521739130434783
GPT-4.1,coherence,ar_EG,46,0.6637681159420289,0.184576737958454,0.02721435530528431,0.27807412487190675,0.275,0.4291666666666667,0.5416666666666666,0.6541666666666667,0.78125,0.8875,1.0,0.23958333333333337,0.725,33,0.717391304347826
Llama-4-Maverick,coherence,ar_EG,46,0.6277173913043478,0.18043204619955824,0.026603253844693642,0.2874415281447508,0.3,0.42500000000000004,0.46249999999999997,0.6166666666666667,0.7666666666666667,0.8791666666666667,1.0,0.30416666666666675,0.7,31,0.6739130434782609
Mistral-7B,coherence,ar_EG,46,0.42572463768115937,0.1769584076729956,0.02609109378536223,0.41566400440635565,0.15833333333333333,0.23333333333333334,0.29791666666666666,0.4125,0.5041666666666667,0.6583333333333333,0.8833333333333333,0.20625,0.725,27,0.5869565217391305
CommandA,coherence,ar_EG,46,0.6657608695652174,0.17157790100649603,0.02529778135734907,0.25771701049138995,0.25833333333333336,0.4291666666666667,0.5375,0.7,0.7729166666666667,0.8833333333333333,1.0,0.23541666666666672,0.7416666666666667,27,0.5869565217391305
Claude-4,coherence,ar_EG,46,0.6356884057971014,0.16826697485112813,0.02480961192831721,0.26470039930983963,0.24166666666666667,0.4083333333333333,0.5020833333333333,0.6416666666666666,0.7729166666666667,0.8333333333333333,0.9916666666666667,0.27083333333333337,0.75,29,0.6304347826086957
Mistral-Medium,coherence,ar_EG,46,0.5759057971014493,0.16679835779520635,0.02459307615674966,0.2896278499621073,0.225,0.4125,0.46041666666666664,0.5541666666666667,0.6583333333333333,0.7833333333333333,1.0,0.19791666666666669,0.775,24,0.5217391304347826
Qwen2.5-7B,coherence,ar_EG,46,0.4952898550724637,0.15412689350726805,0.022724770674789115,0.3111852421946305,0.24166666666666667,0.30833333333333335,0.38333333333333336,0.47916666666666663,0.59375,0.7041666666666666,0.8833333333333333,0.21041666666666664,0.6416666666666666,25,0.5434782608695652
DeepSeek-V3,coherence,ar_EG,46,0.5869565217391305,0.1484763373706089,0.02189164162463703,0.252959685890667,0.25,0.4083333333333333,0.49374999999999997,0.5791666666666666,0.6666666666666667,0.7833333333333333,0.8833333333333333,0.17291666666666677,0.6333333333333333,19,0.41304347826086957
Llama-3.1-8B,coherence,ar_EG,46,0.4753623188405798,0.14677559635164164,0.021640881041887626,0.3087657362275388,0.23333333333333334,0.32916666666666666,0.3625,0.4666666666666667,0.5375,0.6416666666666666,0.8833333333333333,0.175,0.6499999999999999,22,0.4782608695652174
Claude-4,coherence,bn_BD,46,0.5153985507246377,0.13272973783781428,0.019569932186734005,0.25752834898584703,0.21666666666666667,0.35416666666666663,0.4166666666666667,0.5125,0.6208333333333333,0.6833333333333333,0.775,0.20416666666666666,0.5583333333333333,23,0.5
Qwen2.5-7B,coherence,bn_BD,46,0.3994565217391305,0.12953385293152972,0.019098724664505497,0.3242752236653261,0.125,0.25416666666666665,0.3,0.3875,0.48125,0.5625,0.7666666666666667,0.18125000000000002,0.6416666666666667,19,0.41304347826086957
Mistral-Medium,coherence,bn_BD,46,0.48913043478260887,0.11777082743141798,0.017364361174469087,0.24077591385978778,0.2833333333333333,0.3416666666666667,0.3875,0.47916666666666663,0.5729166666666666,0.625,0.7583333333333333,0.18541666666666662,0.475,22,0.4782608695652174
CommandR7B,coherence,bn_BD,46,0.3643115942028987,0.11379620949173126,0.01677833573047333,0.3123595606138022,0.13333333333333333,0.22083333333333333,0.26666666666666666,0.37916666666666665,0.44166666666666665,0.5041666666666667,0.6,0.175,0.4666666666666667,18,0.391304347826087
AyaExpanse-32B,coherence,bn_BD,46,0.43822463768115943,0.1075050398898473,0.015850753377869335,0.2453194792029587,0.25,0.31666666666666665,0.36666666666666664,0.42083333333333334,0.4979166666666667,0.5833333333333333,0.7666666666666667,0.13125000000000003,0.5166666666666667,13,0.2826086956521739
DeepSeek-V3,coherence,bn_BD,46,0.48061594202898544,0.10398026800920308,0.015331054116787373,0.21634793796110105,0.3,0.35,0.41041666666666665,0.4625,0.5333333333333333,0.625,0.7083333333333334,0.12291666666666667,0.4083333333333334,17,0.3695652173913043
Llama-3.1-8B,coherence,bn_BD,46,0.41195652173913055,0.10163254093190244,0.014984900643992348,0.24670695951807445,0.16666666666666666,0.30000000000000004,0.3416666666666667,0.4083333333333333,0.475,0.525,0.6666666666666666,0.1333333333333333,0.5,13,0.2826086956521739
AyaExpanse-8B,coherence,bn_BD,46,0.3284420289855073,0.09963786414856568,0.014690801597160418,0.30336514622177746,0.1,0.2,0.275,0.3208333333333333,0.4041666666666667,0.45416666666666666,0.5083333333333333,0.12916666666666665,0.4083333333333333,15,0.32608695652173914
Qwen3-235B,coherence,bn_BD,46,0.4851449275362319,0.09962759427788855,0.014689287387338323,0.20535635564374338,0.3,0.35,0.41875,0.49583333333333335,0.5458333333333334,0.625,0.675,0.12708333333333338,0.37500000000000006,16,0.34782608695652173
Llama-4-Maverick,coherence,bn_BD,46,0.4795289855072464,0.09960890376402799,0.014686531621413184,0.20772238336888346,0.26666666666666666,0.37083333333333335,0.4166666666666667,0.4666666666666667,0.53125,0.6041666666666666,0.725,0.11458333333333331,0.4583333333333333,13,0.2826086956521739
GPT-4.1,coherence,bn_BD,46,0.4840579710144927,0.08700833802382549,0.012828679560019346,0.17974776418095686,0.3333333333333333,0.35833333333333334,0.4270833333333333,0.4708333333333333,0.55625,0.5958333333333333,0.6666666666666666,0.1291666666666667,0.3333333333333333,13,0.2826086956521739
